maker_id,maker_name,type,city_maker,auction_house,sale_date,lot,usd,gbp,eur,bold_currency,instrument_id,stick_length_without_x,stick_length_with_x,condition_x,material_grade_x,weight_x,stick_shape_x,stick_length_without_y,stick_length_with_y,condition_y,material_grade_y,weight_y,stick_shape_y,make_date
8010,"Husson, Charles Claude II",Violin Bow,Paris,Tarisio,2019-06-24,83,6002.0,4720.0,5272.0,gbp,87713,73.0,74.5,0,1.0,58.5,round,73.0,74.5,0,1.0,58.5,round,
8010,"Husson, Charles Claude II",Violin Bow,Paris,Tarisio,2015-03-31,99,3195.0,2160.0,2970.0,gbp,72631,73.1,74.7,0,1.0,64.0,round,73.1,74.7,0,1.0,64.0,round,
8010,"Husson, Charles Claude II",Violin Bow,Mirecourt,Tarisio,2013-06-26,88,3869.0,2520.0,2971.0,gbp,64720,,,0,1.0,60.0,,,,0,1.0,60.0,,
8010,"Husson, Charles Claude II",Violin Bow,Mirecourt,Tarisio,2012-02-10,106,540.0,342.0,409.0,usd,31403,,,0,1.0,,,,,0,1.0,,,
8010,"Husson, Charles Claude II",Violin Bow,Mirecourt,Tarisio,2008-05-09,13,1287.0,660.0,833.0,usd,14947,,,0,0.1,51.5,,,,0,0.1,51.5,,
8010,"Husson, Charles Claude II",Violin Bow,Mirecourt,Tarisio,2005-05-12,249,6900.0,3700.0,5403.0,usd,7539,,,0,1.0,62.5,,,,0,1.0,62.5,,
8010,"Husson, Charles Claude II",Violin Bow,Mirecourt,Tarisio,2004-10-22,704,8625.0,4719.0,6842.0,usd,7011,,,0,1.0,58.5,,,,0,1.0,58.5,,
298,"Husson, Claude Charles Nicolas",Violin Bow,,Tarisio,2014-05-09,155,25200.0,14944.0,18286.0,usd,66858,,,0,1.0,60.0,round,,,0,1.0,60.0,round,
298,"Husson, Claude Charles Nicolas",Violin Bow,Mirecourt,Tarisio,2004-10-22,686,3163.0,1731.0,2509.0,usd,6345,,,1,1.0,63.0,,,,1,1.0,63.0,,
297,"Husson, Mars Auguste",Violin Bow,Paris,,2025-11-07,,4200.0,3201.0,3633.0,usd,129783,73.1,74.6,0,1.0,60.5,round,73.1,74.6,0,1.0,60.5,round,
297,"Husson, Mars Auguste",Violin Bow,,Tarisio,2019-06-24,79,4959.0,3900.0,4356.0,gbp,87693,72.9,74.4,0,1.0,61.0,round,72.9,74.4,0,1.0,61.0,round,
297,"Husson, Mars Auguste",Violin Bow,Paris,Tarisio,2018-10-29,91,4229.0,3300.0,3714.0,gbp,85391,,,0,1.0,61.0,round,,,0,1.0,61.0,round,
